year;date;rose2profit1;rose2profit0;close;rose2rose;rose2uptick_date;rose2uptick_close;rose2uptick_diff;rose2downtick_date;rose2downtick_close;rose2downtick_diff;rose2uptick_a1;rose2uptick_a1_close;rose2downtick_a1;rose2downtick_a1_close;rose2uptick_a2;rose2uptick_a2_close;rose2downtick_a2;rose2downtick_a2_close;rose2entry;rose2open_trade;rose2close_trade;rose2open_trade_date;rose2open_trade_close;rose2climate;rose2profit;rose2rosehigh;rose2roselow;rose2climateU;rose2climateD
1938;1938-07-09;1,0;0,0;6,4;0;1938-06-25;6,42;-0,0;1938-05-21;4,98;0,29;0;0;0;0;0;0;0;0;0;0,0;0,0;1900-01-01;0,0;1;0,0;0,0;0,0;6,4;0
1938;1938-07-16;1,0;0,0;6,74;2;1900-01-01;0,0;0,0;1938-05-21;4,98;0,35;0;0;0;0;0;0;0;0;1;0,0;0,0;1900-01-01;0,0;1;0,0;6,74;0,0;6,74;0
1938;1938-07-23;1,0;0,0;6,54;-2;1938-07-16;6,74;-0,03;1938-05-21;4,98;0,31;0;0;0;0;0;0;0;0;0;0,0;0,0;1900-01-01;0,0;1;0,0;0,0;6,54;6,54;0
1938;1938-07-30;1,0;0,0;6,75;2;1900-01-01;0,0;0,0;1938-07-23;6,54;0,03;0;0;0;0;0;0;0;0;0;0,0;0,0;1900-01-01;0,0;1;0,0;6,75;0,0;6,75;0
1938;1938-08-06;1,04;0,04;6,26;-2;1938-07-30;6,75;-0,07;1938-05-21;4,98;0,26;0;0;0;0;0;0;0;0;-1;0,0;6,26;1938-06-18;6,02;1;0,04;0,0;6,26;6,26;0
1938;1938-08-13;1,0;0,0;6,48;2;1938-07-30;6,75;-0,04;1938-08-06;6,26;0,04;0;0;0;0;0;0;0;0;0;0,0;0,0;1900-01-01;0,0;1;0,0;6,48;0,0;6,48;0
1938;1938-08-20;1,0;0,0;6,51;2;1938-07-30;6,75;-0,04;1938-08-06;6,26;0,04;0;0;0;0;0;0;0;0;0;0,0;0,0;1900-01-01;0,0;1;0,0;6,51;0,0;6,51;0
1938;1938-08-27;1,0;0,0;6,5;0;1938-08-20;6,51;-0,0;1938-08-06;6,26;0,04;0;0;0;0;0;0;0;0;0;0,0;0,0;1900-01-01;0,0;1;0,0;0,0;0,0;6,5;0
1938;1938-09-03;1,0;0,0;6,25;-2;1938-08-20;6,51;-0,04;1938-05-21;4,98;0,26;0;0;0;0;0;0;0;0;0;0,0;0,0;1900-01-01;0,0;1;0,0;0,0;6,25;6,25;0
1938;1938-09-10;1,0;0,0;5,88;-2;1938-08-20;6,51;-0,1;1938-05-21;4,98;0,18;0;0;0;0;0;0;0;0;-1;0,0;0,0;1900-01-01;0,0;1;0,0;0,0;5,88;5,88;0
1938;1938-09-17;1,0;0,0;5,97;0;1938-08-20;6,51;-0,08;1938-09-10;5,88;0,02;0;0;0;0;0;0;0;0;0;0,0;0,0;1900-01-01;0,0;1;0,0;0,0;0,0;5,97;0
1938;1938-09-24;1,0;0,0;6,54;2;1938-07-30;6,75;-0,03;1938-09-10;5,88;0,11;0;0;0;0;0;0;0;0;1;6,54;0,0;1900-01-01;0,0;1;0,0;6,54;0,0;6,54;0
1938;1938-10-01;1,0;0,0;6,82;2;1900-01-01;0,0;0,0;1938-09-10;5,88;0,16;0;0;0;0;0;0;0;0;1;0,0;0,0;1900-01-01;0,0;1;0,0;6,82;0,0;6,82;0
1938;1938-10-08;1,0;0,0;6,96;2;1900-01-01;0,0;0,0;1938-09-10;5,88;0,18;0;0;0;0;0;0;0;0;1;0,0;0,0;1900-01-01;0,0;1;0,0;6,96;0,0;6,96;0
1938;1938-10-15;1,0;0,0;7,03;2;1900-01-01;0,0;0,0;1938-09-10;5,88;0,2;0;0;0;0;0;0;0;0;1;0,0;0,0;1900-01-01;0,0;1;0,0;7,03;0,0;7,03;0
1938;1938-10-22;1,0;0,0;6,87;0;1938-10-15;7,03;-0,02;1938-09-10;5,88;0,17;0;0;0;0;0;0;0;0;0;0,0;0,0;1900-01-01;0,0;1;0,0;0,0;0,0;6,87;0
1938;1938-10-29;1,0;0,0;6,92;0;1938-10-15;7,03;-0,02;1938-09-10;5,88;0,18;0;0;0;0;0;0;0;0;0;0,0;0,0;1900-01-01;0,0;1;0,0;0,0;0,0;6,92;0
1938;1938-11-05;1,0;0,0;7,22;2;1900-01-01;0,0;0,0;1938-09-10;5,88;0,23;0;0;0;0;0;0;0;0;1;0,0;0,0;1900-01-01;0,0;1;0,0;7,22;0,0;7,22;0
1938;1938-11-12;1,03;0,03;6,74;-2;1938-11-05;7,22;-0,07;1938-09-10;5,88;0,15;0;0;0;0;0;0;0;0;-1;0,0;6,74;1938-09-24;6,54;1;0,03;0,0;6,74;6,74;0
1938;1938-11-19;1,0;0,0;6,61;-2;1938-11-05;7,22;-0,08;1938-09-10;5,88;0,12;0;0;0;0;0;0;0;0;-1;0,0;0,0;1900-01-01;0,0;1;0,0;0,0;6,61;6,61;0
1938;1938-11-26;1,0;0,0;6,52;-2;1938-11-05;7,22;-0,1;1938-09-10;5,88;0,11;0;0;0;0;0;0;0;0;-1;0,0;0,0;1900-01-01;0,0;1;0,0;0,0;6,52;6,52;0
1938;1938-12-03;1,0;0,0;6,5;-2;1938-11-05;7,22;-0,1;1938-09-10;5,88;0,11;0;0;0;0;0;0;0;0;-1;0,0;0,0;1900-01-01;0,0;1;0,0;0,0;6,5;6,5;0
1938;1938-12-10;1,0;0,0;6,67;0;1938-11-05;7,22;-0,08;1938-12-03;6,5;0,03;0;0;0;0;0;0;0;0;0;0,0;0,0;1900-01-01;0,0;1;0,0;0,0;0,0;6,67;0
1938;1938-12-17;1,0;0,0;6,71;2;1938-11-05;7,22;-0,07;1938-12-03;6,5;0,03;0;0;0;0;0;0;0;0;0;0,0;0,0;1900-01-01;0,0;1;0,0;6,71;0,0;6,71;0
1938;1938-12-24;1,0;0,0;6,89;2;1938-11-05;7,22;-0,05;1938-12-03;6,5;0,06;0;0;0;0;0;0;0;0;1;6,89;0,0;1900-01-01;0,0;1;0,0;6,89;0,0;6,89;0
1938;1938-12-31;1,0;0,0;6,74;0;1938-12-24;6,89;-0,02;1938-12-03;6,5;0,04;0;0;0;0;0;0;0;0;0;0,0;0,0;1900-01-01;0,0;1;0,0;0,0;0,0;6,74;0
1939;1939-01-07;0,96;-0,04;6,59;-2;1938-12-24;6,89;-0,04;1938-12-03;6,5;0,01;0;0;0;0;0;0;0;0;-1;0,0;6,59;1938-12-24;6,89;1;-0,04;0,0;6,59;6,59;0
1939;1939-01-14;1,0;0,0;6,5;-2;1938-12-24;6,89;-0,06;1938-09-10;5,88;0,11;0;0;0;0;0;0;0;0;-1;0,0;0,0;1900-01-01;0,0;1;0,0;0,0;6,5;6,5;0
1939;1939-01-21;1,0;0,0;6,15;-2;1938-12-24;6,89;-0,11;1938-09-10;5,88;0,05;0;0;0;0;0;0;0;0;-1;0,0;0,0;1900-01-01;0,0;1;0,0;0,0;6,15;6,15;0
1939;1939-01-28;1,0;0,0;6,46;2;1938-12-24;6,89;-0,06;1939-01-21;6,15;0,05;0;0;0;0;0;0;0;0;1;6,46;0,0;1900-01-01;0,0;1;0,0;6,46;0,0;6,46;0
1939;1939-02-04;1,0;0,0;6,47;2;1938-12-24;6,89;-0,06;1939-01-21;6,15;0,05;0;0;0;0;0;0;0;0;1;0,0;0,0;1900-01-01;0,0;1;0,0;6,47;0,0;6,47;0
1939;1939-02-11;1,0;0,0;6,51;2;1938-12-24;6,89;-0,06;1939-01-21;6,15;0,06;0;0;0;0;0;0;0;0;1;0,0;0,0;1900-01-01;0,0;1;0,0;6,51;0,0;6,51;0
1939;1939-02-18;1,0;0,0;6,57;2;1938-12-24;6,89;-0,05;1939-01-21;6,15;0,07;0;0;0;0;0;0;0;0;1;0,0;0,0;1900-01-01;0,0;1;0,0;6,57;0,0;6,57;0
1939;1939-02-25;1,0;0,0;6,7;2;1938-12-24;6,89;-0,03;1939-01-21;6,15;0,09;0;0;0;0;0;0;0;0;1;0,0;0,0;1900-01-01;0,0;1;0,0;6,7;0,0;6,7;0
1939;1939-03-04;1,0;0,0;6,76;2;1938-12-24;6,89;-0,02;1939-01-21;6,15;0,1;0;0;0;0;0;0;0;0;1;0,0;0,0;1900-01-01;0,0;1;0,0;6,76;0,0;6,76;0
1939;1939-03-11;0,97;-0,03;6,24;-2;1939-03-04;6,76;-0,08;1939-01-21;6,15;0,01;0;0;0;0;0;0;0;0;-1;0,0;6,24;1939-01-28;6,46;1;-0,03;0,0;6,24;6,24;0
