Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1992-10-06,4.0599128710014,4.0599128710014,4.0599128710014,4.0599128710014,157228.46023603
1992-10-08,3.919932708587,3.919932708587,3.919932708587,3.919932708587,117526.80320017
1992-10-13,3.5400214221041,3.5400214221041,3.5400214221041,3.5400214221041,125266.87280226
1992-10-15,3.6000652232444,3.6000652232444,3.6000652232444,3.6000652232444,77249.926085887
1992-10-20,3.9599619093472,3.9599619093472,3.9599619093472,3.9599619093472,119948.95498333
1992-10-22,4.3399952360764,4.3399952360764,4.3399952360764,4.3399952360764,95344.776501206
1992-10-27,4.3999169969704,4.3999169969704,4.3999169969704,4.3999169969704,105250.52511647
1992-10-29,4.2200296740421,4.2200296740421,4.2200296740421,4.2200296740421,77535.89732145
1992-11-03,4.2200296740421,4.2200296740421,4.2200296740421,4.2200296740421,47063.162996616
1992-11-05,4.200015073662,4.200015073662,4.200015073662,4.200015073662,40749.671965052
1992-11-10,4.2400442744222,4.2400442744222,4.2400442744222,4.2400442744222,75861.039999125
1992-11-12,4.2400442744222,4.2400442744222,4.2400442744222,4.2400442744222,10199.913869035
1992-11-17,3.919932708587,3.919932708587,3.919932708587,3.919932708587,30586.631177967
1992-11-19,4.0398982706213,4.0398982706213,4.0398982706213,4.0398982706213,21175.80126265
1992-11-24,3.9799765097273,3.9799765097273,3.9799765097273,3.9799765097273,38190.680077761
1992-11-26,3.7600599860388,3.7600599860388,3.7600599860388,3.7600599860388,26609.254738354
1992-12-01,3.9999911101074,3.9999911101074,3.9999911101074,3.9999911101074,32874.401062474
1992-12-03,4.0398982706213,4.0398982706213,4.0398982706213,4.0398982706213,26063.533125503
1992-12-08,4.0799274713815,4.0799274713815,4.0799274713815,4.0799274713815,48406.981983218
1992-12-10,4.0200057104875,4.0200057104875,4.0200057104875,4.0200057104875,36965.674355219
1992-12-15,3.9799765097273,3.9799765097273,3.9799765097273,3.9799765097273,20515.363394844
1992-12-17,3.9400693492133,3.9400693492133,3.9400693492133,3.9400693492133,14530.452493541
1992-12-22,3.8800255480731,3.8800255480731,3.8800255480731,3.8800255480731,26869.005115643
1992-12-29,3.800089186799,3.800089186799,3.800089186799,3.800089186799,30907.836691837
1993-01-04,3.8199817469328,3.8199817469328,3.8199817469328,3.8199817469328,9385.4284588628
1993-01-05,3.919932708587,3.919932708587,3.919932708587,3.919932708587,17985.050571292
1993-01-07,4.0200057104875,4.0200057104875,4.0200057104875,4.0200057104875,32113.176770673
1993-01-11,4.0999420717616,4.0999420717616,4.0999420717616,4.0999420717616,29450.120852103
1993-01-12,4.1399712725217,4.1399712725217,4.1399712725217,4.1399712725217,27295.094062614
1993-01-14,4.1399712725217,4.1399712725217,4.1399712725217,4.1399712725217,27548.289225333
1993-01-18,4.0999420717616,4.0999420717616,4.0999420717616,4.0999420717616,21560.920118566
1993-01-19,4.0599128710014,4.0599128710014,4.0599128710014,4.0599128710014,15025.371193484
1993-01-21,4.0398982706213,4.0398982706213,4.0398982706213,4.0398982706213,17141.066695561
1993-01-25,4.0398982706213,4.0398982706213,4.0398982706213,4.0398982706213,21620.736451506
1993-01-26,3.9999911101074,3.9999911101074,3.9999911101074,3.9999911101074,20448.991847335
1993-01-28,3.919932708587,3.919932708587,3.919932708587,3.919932708587,17602.389920839
1993-02-01,3.9000401484532,3.9000401484532,3.9000401484532,3.9000401484532,21987.828467359
1993-02-02,3.9400693492133,3.9400693492133,3.9400693492133,3.9400693492133,16066.011506279
1993-02-04,3.9400693492133,3.9400693492133,3.9400693492133,3.9400693492133,26154.486727645
1993-02-08,3.9799765097273,3.9799765097273,3.9799765097273,3.9799765097273,17676.136084738
1993-02-09,3.919932708587,3.919932708587,3.919932708587,3.919932708587,27422.920746705
1993-02-11,3.8399963473129,3.8399963473129,3.8399963473129,3.8399963473129,34921.266811578
1993-02-15,3.8399963473129,3.8399963473129,3.8399963473129,3.8399963473129,19048.634135078
1993-02-16,3.8399963473129,3.8399963473129,3.8399963473129,3.8399963473129,10494.89852463
1993-02-18,3.800089186799,3.800089186799,3.800089186799,3.800089186799,59645.077959585
1993-02-22,3.7600599860388,3.7600599860388,3.7600599860388,3.7600599860388,18976.526774821
1993-02-23,3.800089186799,3.800089186799,3.800089186799,3.800089186799,11565.856704806
1993-02-25,3.800089186799,3.800089186799,3.800089186799,3.800089186799,32065.65146505
1993-03-01,3.860010947693,3.860010947693,3.860010947693,3.860010947693,18458.664823887
1993-03-02,3.9000401484532,3.9000401484532,3.9000401484532,3.9000401484532,32128.745405274
1993-03-04,3.9400693492133,3.9400693492133,3.9400693492133,3.9400693492133,19161.71158639
1993-03-08,3.9599619093472,3.9599619093472,3.9599619093472,3.9599619093472,46274.89844472
1993-03-09,4.0799274713815,4.0799274713815,4.0799274713815,4.0799274713815,59400.076815076
1993-03-11,4.200015073662,4.200015073662,4.200015073662,4.200015073662,94417.213639723
1993-03-15,4.259936834556,4.259936834556,4.259936834556,4.259936834556,65105.571695385
1993-03-16,3.9799765097273,3.9799765097273,3.9799765097273,3.9799765097273,18505.37072769
1993-03-18,4.0599128710014,4.0599128710014,4.0599128710014,4.0599128710014,26059.436116397
1993-03-22,4.1399712725217,4.1399712725217,4.1399712725217,4.1399712725217,34854.075862248
1993-03-23,4.2400442744222,4.2400442744222,4.2400442744222,4.2400442744222,77794.008895096
1993-03-25,4.2200296740421,4.2200296740421,4.2200296740421,4.2200296740421,34928.641427968
1993-03-29,4.1599858729018,4.1599858729018,4.1599858729018,4.1599858729018,23750.361784542
